,,,,,Wind Direction-f1,Wind Direction-f1,Wind Speed-f1,Wind Speed-f1,Wind Direction-model_score,Wind Direction-model_score,Wind Direction-dummy_score,Wind Direction-dummy_score,Wind Direction-feature_score,Wind Direction-feature_score,Wind Direction-state_feature,Wind Direction-state_feature,Wind Direction-fs_test,Wind Direction-fs_test,Wind Direction-feature_increase,Wind Direction-feature_increase,Wind Speed-model_score,Wind Speed-model_score,Wind Speed-dummy_score,Wind Speed-dummy_score,Wind Speed-feature_score,Wind Speed-feature_score,Wind Speed-state_feature,Wind Speed-state_feature,Wind Speed-fs_test,Wind Speed-fs_test,Wind Speed-feature_increase,Wind Speed-feature_increase
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
feature_set,window,atp,css,csd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynseFalseFalse,-1,-1,-1.0,-1.0,0.24096527319047908,0.04348038715884753,0.2430012884921093,0.04106573457330582,0.3441078932203723,0.0485267975528932,0.3213717618285287,0.0,0.34871746724803016,0.0,0.0,0.0,0.0,0.0,-0.004609574027658706,0.04852679755289319,0.32018117945592944,0.04342822683891671,0.35174594834051387,0.0,0.3325632297941544,0.0,0.0,0.0,0.0,0.0,-0.012382050338225578,0.04342822683891671
fsmFalseFalse,200,2000,0.1,0.005,0.5294363422501168,0.049001006915547304,0.5232109860145737,0.04937609532739355,0.5090965372037161,0.0959612943680272,0.3255775046899725,0.0,0.34871746724803016,0.0,0.0,0.0,0.0,0.0,0.16037906995568493,0.09596129436802721,0.49721275674489857,0.1010029413863567,0.35232024327595635,0.0,0.3325632297941544,0.0,0.0,0.0,0.0,0.0,0.16464952695074322,0.1010029413863567
fsmFalseFalse,1500,2000,0.1,0.005,0.4779270597353116,0.05731646887659212,0.47386027550749354,0.056843294329582156,0.5009917475419927,0.08561814498661509,0.3255775046899725,0.0,0.34871746724803016,0.0,0.0,0.0,0.0,0.0,0.15227428029396178,0.08561814498661507,0.4905597288417157,0.08520150477428426,0.35232024327595635,0.0,0.3325632297941544,0.0,0.0,0.0,0.0,0.0,0.15799649904756066,0.08520150477428425
fsmFalseFalse,2500,2000,0.1,0.005,0.4670866541382089,0.053841172631111676,0.46362944443768794,0.053709503741036176,0.49654433839475814,0.0839279150768961,0.3255775046899725,0.0,0.34871746724803016,0.0,0.0,0.0,0.0,0.0,0.14782687114672693,0.0839279150768961,0.48685862279360803,0.08300782903880528,0.35232024327595635,0.0,0.3325632297941544,0.0,0.0,0.0,0.0,0.0,0.15429539299945283,0.08300782903880528
fsmTrueTrue,200,2000,0.125,0.05,0.5090847305475906,0.052057249843632955,0.5033420118722772,0.05211425597867341,0.5147574718760286,0.0902600768491387,0.3255775046899725,0.0,0.34871746724803016,0.0,0.0,0.0,0.0,0.0,0.16604000462799776,0.09026007684913871,0.49781022917791373,0.09266773646784157,0.35232024327595635,0.0,0.3325632297941544,0.0,0.0,0.0,0.0,0.0,0.16524699938375878,0.0926677364678416
fsmTrueTrue,1500,2000,0.125,0.05,0.4736875121189779,0.057366610348796344,0.4696401311922994,0.056442896080697406,0.5038847863597212,0.07925639282395722,0.3255775046899725,0.0,0.34871746724803016,0.0,0.0,0.0,0.0,0.0,0.15516731911169043,0.0792563928239572,0.4940556281776,0.07973880209152803,0.35232024327595635,0.0,0.3325632297941544,0.0,0.0,0.0,0.0,0.0,0.1614923983834451,0.07973880209152805
fsmTrueTrue,2500,2000,0.125,0.05,0.467230563992689,0.050855625896238106,0.46290926164378315,0.04967059724648389,0.498203722693492,0.08131508879151564,0.3255775046899725,0.0,0.34871746724803016,0.0,0.0,0.0,0.0,0.0,0.149486255445461,0.08131508879151564,0.48786320079819456,0.079451752923529,0.35232024327595635,0.0,0.3325632297941544,0.0,0.0,0.0,0.0,0.0,0.1552999710040391,0.079451752923529
